gene,gain
FTMT,1413.4990234375
PGA5,410.4293518066406
CST1,236.7820587158203
FEZF2,138.9980926513672
CST4,110.88240814208984
PGR,108.35155487060547
DEFB121,97.25304412841797
ACSM2A,89.56005859375
CPA1,80.15061950683594
MBD3L2,80.10211944580078
KIAA0408,77.30757904052734
IBSP,64.5620346069336
CNN1,59.201847076416016
LRRC3B,47.9540901184082
NTRK2,45.558387756347656
PAMR1,43.444332122802734
AMY1A,43.19892883300781
SPRY2,38.79376983642578
TBC1D3H,37.7087516784668
AQP12A,36.31825256347656
MME,35.51198959350586
GKN1,34.344200134277344
MATN2,34.22815704345703
DEFB125,32.71849060058594
LYZL6,32.174983978271484
PRAMEF6,27.148954391479492
ATXN3L,26.76177406311035
TMEM202,24.619722366333008
CARD18,24.52667808532715
SLC35A2,23.954757690429688
SPRR2B,23.83771514892578
ARHGAP20,23.189706802368164
CACHD1,22.8609619140625
APCS,22.140968322753906
ABCA10,21.94966697692871
DEFB105A,21.47074317932129
SCARA5,21.210643768310547
MYH1,21.067928314208984
SPRR2F,20.33415412902832
KDM5D,19.99350929260254
DEFB115,19.561321258544922
NEK2,18.96514320373535
MMP11,16.615768432617188
PKMYT1,15.95871353149414
TSLP,15.843592643737793
SYNM,15.689476013183594
ITIH5,15.396285057067871
OR10V1,15.230609893798828
C11orf40,15.185914993286133
SLC36A2,14.973734855651855
